source,label,y,variant,clip,seconds,n_chunks,score,p_synthetic,pred
edge-tts es-AR-TomasNeural,synthetic,1,pstn,22,3.6,2,1.1084918975830078,0.8625870466910033,1
edge-tts es-AR-TomasNeural,synthetic,1,8k,23,5.1,1,12.780797958374023,0.9999957586294187,1
edge-tts es-AR-TomasNeural,synthetic,1,pstn,23,5.1,1,5.852362632751465,0.9978020993512611,1
edge-tts es-US-PalomaNeural,synthetic,1,8k,24,5.5,1,8.531631469726562,0.999803756662141,1
edge-tts es-US-PalomaNeural,synthetic,1,pstn,24,5.5,1,0.30201202630996704,0.7519682857185823,1
edge-tts es-US-PalomaNeural,synthetic,1,8k,25,5.0,1,7.621549606323242,0.9995539598136642,1
edge-tts es-US-PalomaNeural,synthetic,1,pstn,25,5.0,1,1.0746712684631348,0.8589291249382979,1
edge-tts es-US-PalomaNeural,synthetic,1,8k,26,5.8,2,7.518148183822632,0.9995103552849264,1
edge-tts es-US-PalomaNeural,synthetic,1,pstn,26,5.8,2,1.8637239821255207,0.9254289315785111,1
edge-tts es-US-PalomaNeural,synthetic,1,8k,27,5.5,1,8.750024795532227,0.9998388555088714,1
edge-tts es-US-PalomaNeural,synthetic,1,pstn,27,5.5,1,1.3444080352783203,0.8859322563476403,1
edge-tts es-US-AlonsoNeural,synthetic,1,8k,28,6.2,2,9.551852703094482,0.9999218386956836,1
edge-tts es-US-AlonsoNeural,synthetic,1,pstn,28,6.2,2,3.4450416564941406,0.9810266658399809,1
edge-tts es-US-AlonsoNeural,synthetic,1,8k,29,6.4,2,5.939276218414307,0.9979675676165338,1
edge-tts es-US-AlonsoNeural,synthetic,1,pstn,29,6.4,2,-5.037064552307129,0.023913385488625004,0
edge-tts es-US-AlonsoNeural,synthetic,1,8k,30,4.9,1,9.752655029296875,0.9999347925608739,1
edge-tts es-US-AlonsoNeural,synthetic,1,pstn,30,4.9,1,3.865290403366089,0.9869369517781603,1
edge-tts es-US-AlonsoNeural,synthetic,1,8k,31,6.2,2,8.714798927307129,0.9998336513631054,1
edge-tts es-US-AlonsoNeural,synthetic,1,pstn,31,6.2,2,3.6330944299697876,0.9839406345543075,1
gTTS es-MX,synthetic,1,8k,32,8.9,3,7.277881622314453,0.9993918691323493,1
gTTS es-MX,synthetic,1,pstn,32,8.9,3,0.8947747548421224,0.8380888439850253,1
gTTS es-MX,synthetic,1,8k,33,9.3,2,6.594512462615967,0.9988738295007465,1
gTTS es-MX,synthetic,1,pstn,33,9.3,2,0.9255546927452087,0.8418228121672628,1
gTTS es-MX,synthetic,1,8k,34,6.0,2,8.50054383277893,0.9997981742163398,1
gTTS es-MX,synthetic,1,pstn,34,6.0,2,3.75783771276474,0.9856258868029983,1
gTTS es-MX,synthetic,1,8k,35,7.2,2,6.9254536628723145,0.9991643489812062,1
gTTS es-MX,synthetic,1,pstn,35,7.2,2,2.0002925246953964,0.9335007460419484,1
gTTS es-MX,synthetic,1,8k,36,5.7,1,8.273463249206543,0.9997522827748193,1
gTTS es-MX,synthetic,1,pstn,36,5.7,1,1.21332848072052,0.8734214580390623,1
gTTS es-MX,synthetic,1,8k,37,6.6,2,5.9245758056640625,0.9979404808325641,1
gTTS es-MX,synthetic,1,pstn,37,6.6,2,-1.31871098279953,0.41253776703765915,0
gTTS es-MX,synthetic,1,8k,38,6.7,2,6.733800649642944,0.9990067219799109,1
gTTS es-MX,synthetic,1,pstn,38,6.7,2,0.5022091865539551,0.7841142645656204,1
gTTS es-MX,synthetic,1,8k,39,7.0,2,8.61708927154541,0.9998183196965518,1
gTTS es-MX,synthetic,1,pstn,39,7.0,2,1.0206410884857178,0.8529169065984166,1
Windows SAPI Sabina,synthetic,1,8k,40,7.7,2,0.37782934308052063,0.7645086002339293,1
Windows SAPI Sabina,synthetic,1,pstn,40,7.7,2,1.834592878818512,0.9235942828272954,1
Windows SAPI Sabina,synthetic,1,8k,41,5.3,1,-2.607119083404541,0.18002054620300612,0
Windows SAPI Sabina,synthetic,1,pstn,41,5.3,2,2.3871383666992188,0.9521595055678584,1
Windows SAPI Sabina,synthetic,1,8k,42,5.1,1,-3.243436813354492,0.11002817567763541,0
Windows SAPI Sabina,synthetic,1,pstn,42,5.1,2,0.8713569939136505,0.8352006038485396,1
Windows SAPI Sabina,synthetic,1,8k,43,5.6,1,0.9206463098526001,0.8412320895984718,1
Windows SAPI Sabina,synthetic,1,pstn,43,5.6,1,2.7759106159210205,0.9658322418460025,1
Windows SAPI Helena,synthetic,1,8k,44,7.2,1,11.635981559753418,0.9999880823734233,1
Windows SAPI Helena,synthetic,1,pstn,44,7.2,1,8.835423469543457,0.9998508063198137,1
Windows SAPI Helena,synthetic,1,8k,45,5.8,2,0.4704272747039795,0.7792195200482744,1
Windows SAPI Helena,synthetic,1,pstn,45,5.8,2,2.8437623977661133,0.9677963085320256,1
Windows SAPI Helena,synthetic,1,8k,46,4.6,1,4.906414985656738,0.9948540277689771,1
Windows SAPI Helena,synthetic,1,pstn,46,4.6,1,2.50399112701416,0.9567404413686718,1
Windows SAPI Helena,synthetic,1,8k,47,5.5,1,8.761459350585938,0.9998405095634878,1
Windows SAPI Helena,synthetic,1,pstn,47,5.5,1,4.727933883666992,0.9939601107767434,1
FLEURS es_419,human,0,8k,48,8.4,2,-0.19950664043426514,0.6584831542488341,1
FLEURS es_419,human,0,pstn,48,8.4,2,-6.310783624649048,0.007701713339088212,0
FLEURS es_419,human,0,8k,49,17.3,5,-7.412757515907288,0.0028628878009590805,0
FLEURS es_419,human,0,pstn,49,17.3,3,-7.408934593200684,0.0028727533901282925,0
FLEURS es_419,human,0,8k,50,15.1,4,0.5549755692481995,0.7920660857345293,1
FLEURS es_419,human,0,pstn,50,15.1,5,-4.069560241699219,0.05541012258893656,0
FLEURS es_419,human,0,8k,51,12.1,3,5.82521931330363,0.997747718629216,1
FLEURS es_419,human,0,pstn,51,12.1,3,-0.07581567764282227,0.6831242156380335,1
FLEURS es_419,human,0,8k,52,9.2,3,-5.813940684000651,0.012006772836039386,0
FLEURS es_419,human,0,pstn,52,9.2,3,-10.926159699757894,0.00012050150580918245,0
FLEURS es_419,human,0,8k,53,13.7,4,-1.16215457348153,0.44714821088937245,0
FLEURS es_419,human,0,pstn,53,13.7,4,-7.223558157682419,0.003394107837471178,0
FLEURS es_419,human,0,8k,54,11.8,2,6.144190073013306,0.9983101294056661,1
FLEURS es_419,human,0,pstn,54,11.8,2,0.9375760555267334,0.8432620404930405,1
FLEURS es_419,human,0,8k,55,24.2,7,0.6740697962897164,0.8092124714573451,1
FLEURS es_419,human,0,pstn,55,24.2,6,-5.897995511690776,0.011139452396575211,0
FLEURS es_419,human,0,8k,56,10.0,2,1.0865334793925285,0.8602212778442799,1
FLEURS es_419,human,0,pstn,56,10.0,2,-4.055389374494553,0.05608328891957932,0
FLEURS es_419,human,0,8k,57,5.5,1,6.277019500732422,0.9985007410797306,1
FLEURS es_419,human,0,pstn,57,5.5,1,-3.1730332374572754,0.1164055875705718,0
FLEURS es_419,human,0,8k,58,10.0,2,7.493134498596191,0.9994991821398935,1
FLEURS es_419,human,0,pstn,58,10.0,2,-4.226426005363464,0.04845036037578745,0
FLEURS es_419,human,0,8k,59,10.3,3,-3.546687602996826,0.08594980292615344,0
FLEURS es_419,human,0,pstn,59,10.3,2,-6.862195730209351,0.004696627547367721,0
FLEURS es_419,human,0,8k,60,14.3,4,-5.795946776866913,0.012200939443230058,0
FLEURS es_419,human,0,pstn,60,14.3,3,-8.754449208577475,0.0008547321397573989,0
FLEURS es_419,human,0,8k,61,10.9,3,-4.989094257354736,0.024944959043767773,0
FLEURS es_419,human,0,pstn,61,10.9,2,-7.214595556259155,0.0034215774137469133,0
FLEURS es_419,human,0,8k,62,11.2,3,-0.9261838595072428,0.5001879905563544,1
FLEURS es_419,human,0,pstn,62,11.2,3,-6.361800670623779,0.007357712518058099,0
FLEURS es_419,human,0,8k,63,15.8,4,-0.6131419837474823,0.5703444540790923,1
FLEURS es_419,human,0,pstn,63,15.8,4,-4.246166914701462,0.047635604003487805,0
FLEURS es_419,human,0,8k,64,15.7,4,7.7398306131362915,0.9995991002090246,1
FLEURS es_419,human,0,pstn,64,15.7,4,1.7738069295883179,0.9196321159984279,1
FLEURS es_419,human,0,8k,65,7.1,1,4.829512596130371,0.9944862490669193,1
FLEURS es_419,human,0,pstn,65,7.1,1,-5.035785675048828,0.023940339298275368,0
FLEURS es_419,human,0,8k,66,7.1,1,2.071361541748047,0.9373731462824239,1
FLEURS es_419,human,0,pstn,66,7.1,1,-5.040367603302002,0.023843906783248405,0
FLEURS es_419,human,0,8k,67,14.3,4,2.510239690542221,0.9569732297849728,1
FLEURS es_419,human,0,pstn,67,14.3,4,-3.736375570297241,0.0734198655324551,0
FLEURS es_419,human,0,8k,68,12.7,3,1.5715248584747314,0.9050645934424887,1
FLEURS es_419,human,0,pstn,68,12.7,3,-5.169098695119222,0.021284389470710714,0
FLEURS es_419,human,0,8k,69,15.8,4,-6.1258945018053055,0.009087488042945888,0
FLEURS es_419,human,0,pstn,69,15.8,4,-11.220240831375122,9.241569049112478e-05,0
FLEURS es_419,human,0,8k,70,6.4,2,-0.11164975166320801,0.6760829684520929,1
FLEURS es_419,human,0,pstn,70,6.4,1,-3.026996374130249,0.13066103970381818,0
FLEURS es_419,human,0,8k,71,9.7,3,0.37005814909935,0.7632436512962553,1
FLEURS es_419,human,0,pstn,71,9.7,3,-5.260700225830078,0.019628807485332068,0
FLEURS es_419,human,0,8k,72,9.1,3,-4.020088275273641,0.05779380441529065,0
FLEURS es_419,human,0,pstn,72,9.1,3,-5.422159433364868,0.017012602643554014,0
FLEURS es_419,human,0,8k,73,10.9,3,-2.0494585037231445,0.26640343296462926,0
FLEURS es_419,human,0,pstn,73,10.9,2,-6.994152307510376,0.004171550918030539,0
FLEURS es_419,human,0,8k,74,15.0,4,7.673870801925659,0.999574522378921,1
FLEURS es_419,human,0,pstn,74,15.0,4,-1.6165499687194824,0.3492655695237232,0
FLEURS es_419,human,0,8k,75,6.4,1,4.062689781188965,0.9890451939677375,1
FLEURS es_419,human,0,pstn,75,6.4,1,-3.4425570964813232,0.09362552838125823,0
FLEURS es_419,human,0,8k,76,7.7,1,3.2462544441223145,0.9773828409893163,1
FLEURS es_419,human,0,pstn,76,7.7,1,-1.6767189502716064,0.3370275969557972,0
FLEURS es_419,human,0,8k,77,13.7,4,-7.8857302069664,0.0018700996163276808,0
FLEURS es_419,human,0,pstn,77,13.7,3,-11.518590927124023,7.060299026371891e-05,0
FLEURS es_419,human,0,8k,78,8.1,2,-2.777123272418976,0.15847370230305924,0
FLEURS es_419,human,0,pstn,78,8.1,2,-5.6038196086883545,0.014477429880814893,0
FLEURS es_419,human,0,8k,79,11.2,2,7.392751693725586,0.9994517203464013,1
FLEURS es_419,human,0,pstn,79,11.2,2,-2.064108833670616,0.2638275732203479,0
FLEURS es_419,human,0,8k,80,14.8,4,-3.58764111995697,0.08309033557137695,0
FLEURS es_419,human,0,pstn,80,14.8,4,-7.798633903264999,0.002022711349775318,0
FLEURS es_419,human,0,8k,81,16.4,4,1.005707137286663,0.8512181490701756,1
FLEURS es_419,human,0,pstn,81,16.4,5,-4.262911185622215,0.04695474448235886,0
FLEURS es_419,human,0,8k,82,14.4,4,2.224992647767067,0.9450353298253242,1
FLEURS es_419,human,0,pstn,82,14.4,4,-4.1385157108306885,0.0522417527614841,0
FLEURS es_419,human,0,8k,83,12.8,3,0.6619352499643961,0.8075160723435316,1
FLEURS es_419,human,0,pstn,83,12.8,3,-5.383035083611806,0.017613241135313717,0
FLEURS es_419,human,0,8k,84,5.8,2,-7.8242268562316895,0.001976620725482893,0
FLEURS es_419,human,0,pstn,84,5.8,2,-8.966485977172852,0.0007059782206657559,0
FLEURS es_419,human,0,8k,85,10.6,2,8.952167510986328,0.9998657230350809,1
FLEURS es_419,human,0,pstn,85,10.6,2,8.451726913452148,0.9997890859689843,1
FLEURS es_419,human,0,8k,86,16.0,4,1.3458116948604584,0.88606020510244,1
FLEURS es_419,human,0,pstn,86,16.0,4,-4.989399671554565,0.024938256070098166,0
FLEURS es_419,human,0,8k,87,10.0,3,-3.389242649078369,0.09778904350680506,0
FLEURS es_419,human,0,pstn,87,10.0,3,-9.35589567820231,0.0004968910344460843,0
ASVspoof bonafide (English),human,0,8k,88,3.8,1,0.5745781660079956,0.7949645916688923,1
ASVspoof bonafide (English),human,0,pstn,88,3.8,1,-6.902917861938477,0.004527928249803918,0
ASVspoof bonafide (English),human,0,8k,89,3.8,1,7.715987205505371,0.9995903839467705,1
ASVspoof bonafide (English),human,0,pstn,89,3.8,1,-0.3074861764907837,0.6362432961447864,1
ASVspoof bonafide (English),human,0,8k,90,1.7,1,-2.139760732650757,0.25078299266376797,0
ASVspoof bonafide (English),human,0,pstn,90,1.7,1,-5.5640106201171875,0.014999053192613169,0
ASVspoof bonafide (English),human,0,8k,91,3.3,1,-4.932143211364746,0.026226032609899915,0
ASVspoof bonafide (English),human,0,pstn,91,3.3,1,-9.760978698730469,0.0003447969449220121,0
ASVspoof bonafide (English),human,0,8k,92,3.1,1,-1.7674490213394165,0.3189833355349538,0
ASVspoof bonafide (English),human,0,pstn,92,3.1,1,-7.555994987487793,0.0025166115345520677,0
ASVspoof bonafide (English),human,0,8k,93,4.9,1,5.461759567260742,0.9968761256585844,1
ASVspoof bonafide (English),human,0,pstn,93,4.9,1,-0.2477848082780838,0.6486187515241008,1
ASVspoof bonafide (English),human,0,8k,94,2.5,1,-3.4163658618927,0.09565065586647563,0
ASVspoof bonafide (English),human,0,pstn,94,2.5,1,-8.384303092956543,0.0011933116574435112,0
ASVspoof bonafide (English),human,0,8k,95,4.8,1,-8.198604583740234,0.0014107173121407806,0
ASVspoof bonafide (English),human,0,pstn,95,4.8,1,-6.417973518371582,0.0069965673201495245,0
ASVspoof bonafide (English),human,0,8k,96,3.5,1,3.9469096660614014,0.9878532916027256,1
ASVspoof bonafide (English),human,0,pstn,96,3.5,1,-5.490706920623779,0.016008418701833886,0
ASVspoof bonafide (English),human,0,8k,97,3.3,1,4.327464580535889,0.9913534250223666,1
ASVspoof bonafide (English),human,0,pstn,97,3.3,1,0.26137620210647583,0.7450655458114763,1
ASVspoof bonafide (English),human,0,8k,98,2.4,1,0.9494147300720215,0.8446689596217979,1
ASVspoof bonafide (English),human,0,pstn,98,2.4,1,-6.0506744384765625,0.009719583706156264,0
ASVspoof bonafide (English),human,0,8k,99,5.2,1,-5.120157241821289,0.022224170492159627,0
ASVspoof bonafide (English),human,0,pstn,99,5.2,1,-8.105561256408691,0.0015340966575245723,0
ASVspoof bonafide (English),human,0,8k,100,5.0,1,-2.632070541381836,0.1767205909242901,0
ASVspoof bonafide (English),human,0,pstn,100,5.0,1,-6.559370517730713,0.006163559350472422,0
ASVspoof bonafide (English),human,0,8k,101,3.1,1,-5.761746883392334,0.012578566413189838,0
ASVspoof bonafide (English),human,0,pstn,101,3.1,1,-10.728137016296387,0.00014407648044492612,0
ASVspoof bonafide (English),human,0,8k,102,4.0,1,3.9251198768615723,0.9876150598826423,1
ASVspoof bonafide (English),human,0,pstn,102,4.0,1,-4.194091320037842,0.04981352899029206,0
ASVspoof bonafide (English),human,0,8k,103,2.9,1,4.141558647155762,0.9897901193824431,1
ASVspoof bonafide (English),human,0,pstn,103,2.9,1,-4.980622291564941,0.025131595926010875,0
ASVspoof bonafide (English),human,0,8k,104,1.5,0,0.0,0.5,1
ASVspoof bonafide (English),human,0,pstn,104,1.5,0,0.0,0.5,1
ASVspoof bonafide (English),human,0,8k,105,4.6,1,2.749354362487793,0.9650324758775689,1
ASVspoof bonafide (English),human,0,pstn,105,4.6,1,-3.9684715270996094,0.060383210920249286,0
ASVspoof bonafide (English),human,0,8k,106,4.3,1,-4.195512771606445,0.049752846882934874,0
ASVspoof bonafide (English),human,0,pstn,106,4.3,1,-9.229398727416992,0.0005569457632008735,0
ASVspoof bonafide (English),human,0,8k,107,2.3,1,-7.455615997314453,0.0027545712776014244,0
ASVspoof bonafide (English),human,0,pstn,107,2.3,1,-9.516008377075195,0.0004300682336897297,0
