anon_id,split,score
call_a2aa58c1750b,train,0.0186
call_a381913d938c,train,0.9018
call_a3a1f51a4bf9,val,0.9261
call_a426226cf8b9,train,0.5285
call_a4683528fef4,train,0.0019
call_a49598543013,train,0.7459
call_a6481017c744,train,0.7796
call_a71916766a4f,train,0.9497
call_a766613f8c8a,train,0.9516
call_a7c95e99f3b6,val,0.0139
call_a7df1d46e72b,train,0.8344
call_a7ea289a43fd,train,0.7533
call_a8ca5b456ce4,train,0.9713
call_a9d29125d786,train,0.9242
call_abf730747901,val,0.0187
call_ac80248cae29,train,0.8303
call_acda78859d0d,train,0.0949
call_ad8e23b11d98,train,0.5837
call_adf30039caa2,train,0.9591
call_aed9b45d6c31,train,0.8578
call_af9ad367dcce,val,0.9686
call_b0836ff3142a,train,0.8427
call_b167dd907a80,train,0.8575
call_b2594d9c3ffd,train,0.9101
call_b382ffa5187d,train,0.2168
call_b3f14bd5c2b6,train,0.9756
call_b41c86402714,train,0.0194
call_b5840ec7dd5e,train,0.9442
call_b5c4803ea37c,train,0.1107
call_b5cc1f8d8fee,val,0.1989
call_b658b1155216,val,0.2343
call_b712f501aeb8,val,0.9428
call_b72eccd91b8c,train,0.9347
call_b78e6c8e05d3,train,0.0190
call_b7c3a7552903,train,0.8627
call_b956718b62ae,train,0.5052
call_b96e9305d9a2,train,0.1808
call_bac44092a11a,train,0.7352
call_bba20372ca37,train,0.9450
call_bc24a38d8bf2,train,0.8198
call_bc2c7c34acea,val,0.0970
call_bc7120020303,train,0.5946
call_bd2262567810,train,0.0842
call_bd98a8224da0,val,0.0197
call_bda847d77eef,train,0.2053
call_bdfa814252df,train,0.7356
call_be72006df132,val,0.0149
call_bf0384ed27ed,val,0.5529
call_bf4ed1a05c84,train,0.0836
call_c04725672945,val,0.9466
call_c1cbe639d50f,train,0.9846
call_c1d95df7a179,train,0.8101
call_c21f9cf2390e,val,0.9132
call_c337629bcbbb,train,0.0868
call_c3417b995627,train,0.7302
call_c3a3ab5fa472,train,0.6171
call_c3e9e24958f7,train,0.9541
call_c49b6face6c3,val,0.9474
call_c4fc8a865292,val,0.0558
call_c509bc8280ae,train,0.2180
call_c5b04c36bb62,train,0.9251
call_c647ee088162,train,0.2938
call_c67ce09b3316,train,0.9639
call_c6daaae3eb0f,train,0.3470
call_c6e878157063,train,0.5345
call_c87e905eb0d7,train,0.5235
call_ca184bb77a63,val,0.1248
call_ca5206a4f854,train,0.8142
call_cbad95f3aabc,train,0.9180
call_cbb902adb22a,train,0.0235
call_ce3072c8e106,train,0.6742
call_ce6146a1c53e,train,0.9176
call_cea74e96e420,train,0.9536
call_cf313f91b995,val,0.1998
call_d0442c9e97b7,train,0.7963
call_d13864e1e455,train,0.9682
call_d13e6463c6fb,train,0.4808
call_d147a02786d2,train,0.9549
call_d17b2416d506,train,0.7775
call_d38f7d5159e7,train,0.3014
call_d3e854cbb77d,train,0.1637
call_d437831f4543,train,0.5618
call_d4518fcb700a,val,0.9273
call_d557fa43925b,train,0.7174
call_d5d00276dd35,train,0.0438
call_d60330be1b1f,val,0.1948
call_d72a7cb67eb0,train,0.2093
call_d80d9f6f7884,train,0.1217
call_d88d3c23953c,val,0.9362
call_d88d8e15e430,train,0.7708
call_d89caa393417,train,0.9684
call_d9b9c625f406,train,0.4200
call_db5326bcb672,train,0.1625
call_dc1a55102190,val,0.0528
call_dcdbcc7d70e4,train,0.9275
call_ddeabfdb99d4,train,0.5185
call_ddf2da1910f1,train,0.3791
call_df3e278ab7fe,train,0.9597
call_df75973c8794,train,0.9692
call_e0a8703be347,train,0.9335
call_e0c1f661d9ca,train,0.6127
call_e106a61086bb,train,0.3390
call_e118b75d4937,train,0.1187
call_e2200941723b,train,0.9418
call_e2d538297f0c,val,0.3618
call_e3064936e37a,train,0.9215
call_e3084824935d,train,0.5150
call_e31bf946a8fa,train,0.4781
call_e329faf2b6a1,val,0.8059
call_e3f555297277,val,0.6079
call_e4d9c2e0947a,train,0.1913
call_e58669998b76,val,0.1680
call_e618b7b1fa5b,train,0.0403
call_e697765a4dfd,train,0.5386
call_e69e8ba551e4,train,0.1607
call_e6c59d28e6d7,train,0.5486
call_e9bd33cdb226,val,0.6638
call_eb1c9a5a2c08,train,0.4425
call_ec545493459e,train,0.8362
call_ec58505fc522,train,0.0734
call_ed020e30c242,train,0.9875
call_ed041799aed9,train,0.0331
call_ed99e3ea3f0e,train,0.8951
call_ee227bc9d7ac,train,0.1608
call_eed2c7389776,val,0.9330
call_f003741555a1,train,0.1046
call_f0ad1cf1aa6a,train,0.8188
call_f1372119b403,train,0.6624
call_f1b82a4a46f6,val,0.0880
call_f202d4ff9f96,train,0.0882
call_f23bfe7d0e9e,train,0.9578
call_f27db4ab1f5a,train,0.8512
call_f2ab1c408b36,train,0.8197
call_f331303c4fb8,train,0.5096
call_f5251fb3b1d9,train,0.5885
call_f68d3459fdc7,train,0.8678
call_f6ce5de7ac09,val,0.8521
call_f9fbabf70f7e,val,0.9266
call_fa26d1186721,val,0.5957
call_fa4d7f2897f4,train,0.1992
call_fa9e18dd83dd,val,0.8089
call_fb1405943fed,val,0.0290
call_fc8bda4b3374,val,0.6427
call_fce92bad5095,train,0.2278
call_fdc3a7dac09f,train,0.9760
call_fdc44f969ade,train,0.9186
call_fe828697f60d,train,0.9594
call_fe8e4fc3ef69,train,0.7916
call_feaca5a8cd14,train,0.9703
call_ff4042587962,train,0.9786
call_fff8cae57de7,train,0.6331
