call_id,kind,label,floor_db,median_db,speech_db,range_db,n_energy,n_silero
call_678ee1dd2242,original,human,-72.24716186523438,-71.27806854248047,-24.111438751220703,48.13572311401367,13,14
call_678ee1dd2242,channel,human,-42.173118591308594,-41.25288009643555,-15.779052734375,26.394065856933594,16,14
call_6971b2685c1d,original,human,-72.24716186523438,-71.27806854248047,-29.06424331665039,43.182918548583984,9,6
call_6971b2685c1d,channel,human,-65.25019836425781,-61.95930099487305,-34.137062072753906,31.113136291503906,9,7
call_6c8d4490f8d7,original,synthetic,-72.24716186523438,-72.24716186523438,-11.54930591583252,60.69785690307617,9,9
call_6c8d4490f8d7,channel,synthetic,-33.20580291748047,-22.381248474121094,-16.581636428833008,16.62416648864746,54,9
call_743448b8a861,original,synthetic,-72.30179595947266,-72.24716186523438,-11.525015830993652,60.77677917480469,13,14
call_743448b8a861,channel,synthetic,-39.73133850097656,-28.141441345214844,-20.770748138427734,18.960590362548828,47,13
call_74b20933dd43,original,human,-72.24716186523438,-71.83323669433594,-24.708486557006836,47.538673400878906,24,14
call_74b20933dd43,channel,human,-52.58025360107422,-51.52747344970703,-24.461944580078125,28.118309020996094,16,15
call_7b1e73c133f8,original,synthetic,-72.24716186523438,-72.24716186523438,-14.280644416809082,57.96651840209961,11,10
call_7b1e73c133f8,channel,synthetic,-28.99050521850586,-23.8001651763916,-22.47052001953125,6.519985198974609,0,7
call_810c24005ecc,original,synthetic,-43.837093353271484,-40.798789978027344,-13.059028625488281,30.778064727783203,17,9
call_810c24005ecc,channel,synthetic,-43.05276107788086,-39.664337158203125,-17.500946044921875,25.551815032958984,19,6
call_810e3066a7b4,original,synthetic,-72.24716186523438,-72.24716186523438,-20.472564697265625,51.77459716796875,14,9
call_810e3066a7b4,channel,synthetic,-41.772369384765625,-38.553367614746094,-14.641016006469727,27.1313533782959,14,11
call_8cafd2754e55,original,synthetic,-48.88313293457031,-45.66911315917969,-12.259615898132324,36.62351608276367,14,12
call_8cafd2754e55,channel,synthetic,-32.1318473815918,-26.517688751220703,-19.22724723815918,12.904600143432617,9,12
call_8d75a71e6126,original,synthetic,-72.24716186523438,-72.24716186523438,-11.430805206298828,60.81635665893555,12,14
call_8d75a71e6126,channel,synthetic,-37.99541473388672,-28.1400203704834,-22.046974182128906,15.948440551757812,25,15
call_8da8b9947630,original,human,-72.24716186523438,-72.24716186523438,-25.9136962890625,46.333465576171875,12,10
call_8da8b9947630,channel,human,-38.77467346191406,-38.008628845214844,-22.926584243774414,15.848089218139648,13,10
call_925ba94f05a4,original,synthetic,-44.35175323486328,-36.06154251098633,-15.936836242675781,28.4149169921875,44,19
call_925ba94f05a4,channel,synthetic,-38.95047378540039,-38.15422821044922,-21.15351104736328,17.79696273803711,23,11
call_957a8384caff,original,synthetic,-72.24716186523438,-72.24716186523438,-13.625337600708008,58.621826171875,12,9
call_957a8384caff,channel,synthetic,-39.99052810668945,-26.163681030273438,-21.1444091796875,18.846118927001953,25,10
call_95ccefc6e4ce,original,human,-72.24716186523438,-72.24716186523438,-15.809591293334961,56.43756866455078,21,20
call_95ccefc6e4ce,channel,human,-42.290672302246094,-38.253902435302734,-21.722389221191406,20.568283081054688,25,19
call_9a3d5b0a64a3,original,human,-72.24716186523438,-72.24716186523438,-16.14084815979004,56.10631561279297,25,26
call_9a3d5b0a64a3,channel,human,-32.36159896850586,-22.55449104309082,-19.8319091796875,12.52968978881836,6,24
call_9bb847dfc83e,original,human,-72.24716186523438,-72.24716186523438,-24.88325309753418,47.36390686035156,11,10
call_9bb847dfc83e,channel,human,-47.08431625366211,-46.275062561035156,-23.87542724609375,23.20888900756836,11,10
call_9f11e2c5441c,original,human,-72.24716186523438,-72.24716186523438,-20.47906494140625,51.768096923828125,16,11
call_9f11e2c5441c,channel,human,-37.71512985229492,-33.666526794433594,-21.76955223083496,15.945577621459961,14,11
call_a3a1f51a4bf9,original,synthetic,-72.24716186523438,-72.24716186523438,-12.00046157836914,60.246700286865234,11,11
call_a3a1f51a4bf9,channel,synthetic,-28.40739631652832,-22.962684631347656,-18.410316467285156,9.997079849243164,0,11
call_a7c95e99f3b6,original,human,-66.28121185302734,-59.85419464111328,-18.815391540527344,47.4658203125,25,13
call_a7c95e99f3b6,channel,human,-41.4881591796875,-40.77162170410156,-27.371564865112305,14.116594314575195,14,10
call_abf730747901,original,human,-72.24716186523438,-72.24716186523438,-23.198490142822266,49.04867172241211,13,8
call_abf730747901,channel,human,-31.41449546813965,-29.727285385131836,-17.744476318359375,13.670019149780273,13,9
